KDSATKER,KODE_PROGRAM,KODE_KEGIATAN,KODE_OUTPUT,KDIB,VOLUME_OUTPUT,KODE_SUBOUTPUT,VOLUME_SUBOUTPUT,KODE_KOMPONEN,KODE_SUBKOMPONEN,URAIAN_SUBKOMPONEN,KODE_AKUN,KODE_JENIS_BEBAN,KODE_CARA_TARIK,KODE_JENIS_BANTUAN,KODE_REGISTER,HEADER1,HEADER2,KODE_ITEM,NOMOR_ITEM,CONS_ITEM,URAIAN_ITEM,SUMBER_DANA,VOL_KEG_1,SAT_KEG_1,VOL_KEG_2,SAT_KEG_2,VOL_KEG_3,SAT_KEG_3,VOL_KEG_4,SAT_KEG_4,VOLKEG,SATKEG,HARGASAT,TOTAL,KODE_BLOKIR,NILAI_BLOKIR,KODE_STS_HISTORY,POK_NILAI_1,POK_NILAI_2,POK_NILAI_3,POK_NILAI_4,POK_NILAI_5,POK_NILAI_6,POK_NILAI_7,POK_NILAI_8,POK_NILAI_9,POK_NILAI_10,POK_NILAI_11,POK_NILAI_12
403829,WA,2378,EBA,00,4,956,1,101,DA,"Pengelolaan Barang Milik Negara (BMN)",521211,A,0,A0,,0,0,1,0,16,Penggandaan,A,0,,0,,0,,0,,1,PAKET,1000000,1000000,,0,B01,0,30000,0,0,0,0,0,0,0,0,0,970000
403829,WA,2378,EBA,00,4,956,1,101,DA,"Pengelolaan Barang Milik Negara (BMN)",524111,A,0,A0,,1,0,1,0,17,"DKI Jakarta",A,0,,0,,0,,0,,0,,0,0,,0,B01,0,0,0,0,0,0,0,0,0,0,0,0
403829,WA,2378,EBA,00,4,956,1,101,DA,"Pengelolaan Barang Milik Negara (BMN)",524111,A,0,A0,,0,0,2,1,18,"Uang Harian",A,0,,0,,0,,0,,15,OK,530000,7950000,A,5009000,B01,0,238500,0,0,0,0,0,0,0,0,0,7711500
403829,WA,2378,EBA,00,4,956,1,101,DA,"Pengelolaan Barang Milik Negara (BMN)",524111,A,0,A0,,0,0,3,2,19,"Biaya Transportasi",A,0,,0,,0,,0,,5,OK,210000,1050000,A,662000,B01,0,31500,0,0,0,0,0,0,0,0,0,1018500
403829,WA,2378,EBA,00,4,958,1,201,DA,"Pelayanan Publik dan Kehumasan",521211,A,0,A0,,0,0,1,0,214,Penggandaan,A,0,,0,,0,,0,,1,PAKET,1000000,1000000,,0,B01,0,0,33333,0,0,0,0,0,0,0,0,966667
403829,WA,2378,EBA,00,4,958,1,201,DA,"Pelayanan Publik dan Kehumasan",524111,A,0,A0,,1,0,1,0,215,"DKI Jakarta",A,0,,0,,0,,0,,0,,0,0,,0,B01,0,0,0,0,0,0,0,0,0,0,0,0
403829,WA,2378,EBA,00,4,958,1,201,DA,"Pelayanan Publik dan Kehumasan",524111,A,0,A0,,0,0,2,1,216,"Uang Harian",A,0,,0,,0,,0,,25,OK,530000,13250000,A,8348000,B01,0,0,441667,0,0,0,0,0,0,0,0,12808333
403829,WA,2378,EBA,00,4,958,1,201,DA,"Pelayanan Publik dan Kehumasan",524111,A,0,A0,,0,0,3,2,217,"Biaya Transportasi",A,0,,0,,0,,0,,5,OK,150000,750000,A,473000,B01,0,0,25000,0,0,0,0,0,0,0,0,725000
403829,WA,2378,EBA,00,4,962,1,201,DA,"Pelayanan Tata Usaha dan Kerumahtanggaan",521211,A,0,A0,,0,0,1,0,207,Penggandaan,A,0,,0,,0,,0,,1,PAKET,1000000,1000000,,0,B01,0,0,0,0,0,0,0,0,0,0,0,1000000
403829,WA,2378,EBA,00,4,962,1,201,DA,"Pelayanan Tata Usaha dan Kerumahtanggaan",524111,A,0,A0,,1,0,1,0,208,"DKI Jakarta",A,0,,0,,0,,0,,0,,0,0,,0,B01,0,0,0,0,0,0,0,0,0,0,0,0
