KDSATKER,KODE_PROGRAM,KODE_KEGIATAN,KODE_OUTPUT,KDIB,VOLUME_OUTPUT,KODE_SUBOUTPUT,VOLUME_SUBOUTPUT,KODE_KOMPONEN,KODE_SUBKOMPONEN,URAIAN_SUBKOMPONEN,KODE_AKUN,KODE_JENIS_BEBAN,KODE_CARA_TARIK,KODE_JENIS_BANTUAN,KODE_REGISTER,HEADER1,HEADER2,KODE_ITEM,NOMOR_ITEM,CONS_ITEM,URAIAN_ITEM,SUMBER_DANA,VOL_KEG_1,SAT_KEG_1,VOL_KEG_2,SAT_KEG_2,VOL_KEG_3,SAT_KEG_3,VOL_KEG_4,SAT_KEG_4,VOLKEG,SATKEG,HARGASAT,TOTAL,KODE_BLOKIR,NILAI_BLOKIR,KODE_STS_HISTORY,POK_NILAI_1,POK_NILAI_2,POK_NILAI_3,POK_NILAI_4,POK_NILAI_5,POK_NILAI_6,POK_NILAI_7,POK_NILAI_8,POK_NILAI_9,POK_NILAI_10,POK_NILAI_11,POK_NILAI_12
403829,WA,2378,EBA,00,4,956,1,101,ZA,Efisiensi,521211,A,0,A0,,0,0,01,0,265,Penggandaan,A,0,,0,,0,,0,,10,PAKET,940000,9400000,A,9400000,C03,0,564000,0,0,0,0,0,0,0,0,0,8836000
403829,WA,2378,EBA,00,4,956,1,101,DA,"Pengelolaan Barang Milik Negara (BMN)",524111,A,0,A0,,1,0,01,0,17,"DKI Jakarta",A,0,,0,,0,,0,,0,,0,600000,,0,C03,0,0,0,0,0,0,0,0,0,0,0,0
403829,WA,2378,EBA,00,4,956,1,101,DA,"Pengelolaan Barang Milik Negara (BMN)",524111,A,0,A0,,0,0,02,1,18,"Uang Harian",A,0,,0,,0,,0,,2,OK,300000,600000,,0,C03,0,36000,0,0,0,0,0,0,0,0,0,564000
403829,WA,2378,EBA,00,4,958,1,201,ZA,Efisiensi,521211,A,0,A0,,0,0,01,0,266,Penggandaan,A,0,,0,,0,,0,,11,PAKET,1000000,11000000,A,11000000,C03,0,330000,0,0,0,0,0,0,0,0,0,10670000
403829,WA,2378,EBA,00,4,958,1,201,ZA,Efisiensi,521211,A,0,A0,,0,0,02,1,275,"Bahan cetak",A,0,,0,,0,,0,,1,PAKET,818000,818000,A,818000,C03,0,24540,0,0,0,0,0,0,0,0,0,793460
403829,WA,2378,EBA,00,4,958,1,201,DA,"Pelayanan Publik dan Kehumasan",524111,A,0,A0,,1,0,01,0,215,"DKI Jakarta",A,0,,0,,0,,0,,0,,0,450000,,0,C03,0,0,0,0,0,0,0,0,0,0,0,0
403829,WA,2378,EBA,00,4,958,1,201,DA,"Pelayanan Publik dan Kehumasan",524111,A,0,A0,,0,0,02,1,216,"Uang Harian",A,0,,0,,0,,0,,1,OK,450000,450000,,0,C03,0,13500,0,0,0,0,0,0,0,0,0,436500
403829,WA,2378,EBA,00,4,958,1,201,ZA,Efisiensi,524111,A,0,A0,,0,0,01,0,272,"Uang Harian",A,0,,0,,0,,0,,4,OK,683000,2732000,A,2732000,C03,0,81960,0,0,0,0,0,0,0,0,0,2650040
403829,WA,2378,EBA,00,4,962,1,201,ZA,Efisiensi,521211,A,0,A0,,0,0,01,0,273,Penggandaan,A,0,,0,,0,,0,,2,PAKET,1260000,2520000,A,2520000,C03,0,75600,0,0,259560,259560,259560,259560,259560,259560,569520,317520
403829,WA,2378,EBA,00,4,962,1,201,DA,"Pelayanan Tata Usaha dan Kerumahtanggaan",522151,A,0,A0,,0,0,01,0,282,"Honor Narasumber",A,0,,0,,0,,0,,2,OJ,900000,1800000,,0,C03,0,54000,0,0,185400,185400,185400,185400,185400,185400,406800,226800
